experiment_id,date,short_name,type,stimulus,perturbation_target,n_trials,duration_s,script_or_file,primary_output,status,key_outcome,claim_ids,notes
E001,2026-03-20,test_sugar_500ms,setup simulation,10 sugar sensory neurons,none,1,0.5,test_run.py,results/test_sugar.parquet,completed,"2,422 spikes; 261 active neurons; local model worked",C001,Prototype run; ID mismatch fixed
E002,2026-03-26,random_group_perturbation_test,pipeline test,sugar sensory,three random 10-neuron groups,5,1.0,perturb.py; baseline.py; analyze.py,results/perturbation_summary.csv,completed,Baseline had 403 active neurons; perturbations affected 240-280 downstream neurons,C001,Exploratory infrastructure test
E003,2026-03-30,descending_first_biological_test,perturbation,sugar sensory,descending super_class,not recorded in notebook,1.0,cell_groups.py; perturb.py; motor_analysis.py,results/perturb_descending.parquet,completed,"Most motor neurons decreased; 3 motor neurons increased, suggesting disinhibition",C002;C003,Tie to exact output file before publication
E004,2026-03-30,super_class_sweep,perturbation screen,sugar sensory,7 super_classes,5,1.0,perturb.py; motor_analysis.py,results/motor_impact.csv; results/motor_impact_figure.png,exploratory,Sensory and central had largest absolute motor effects; descending high per-neuron effect,C003;C004,Exploratory due to 5 trials
E005,2026-03-31_to_2026-04-01,cell_class_sweep,perturbation screen,sugar sensory,27 cell classes >=20 neurons,5,1.0,sweep_cell_class.py,results/cell_class_sweep.csv,exploratory,LO looked net positive; AN strong negative; candidates selected for rerun,C005,Do not cite LO sign as final
E006,2026-04-02,high_quality_cell_class_rerun,validation rerun,sugar sensory,LO; AN; LOP>LO.ME; LHCENT; ME>LO; Kenyon_Cell,30,1.0,notebook/scripts hq_*,results/hq_*.parquet,validated/revised,LO flipped to -34.4 Hz; AN remained strong at -129.4 Hz,C004;C005,Key methodological pivot
E007,2026-04-02,motor_total_rate_statistics,statistical validation,sugar sensory,selected perturbation conditions,30 baseline; 30 perturbation intended,1.0,statistics.py,results/statistics.csv,validated,"Sensory, central, descending, AN, ascending significant in notebook",C004;C006,Use FDR q-values in current reporting
E008,2026-06-10,graph_null_audit,graph/statistical control,none,AN/ascending or selected focus group,bootstrap,NA,analyze_graph_outputs.py,results/graph_analysis/*,active/negative-control,"Recomputes empirical p-values, FDR, zero-retention audit, and figures",C007,Do not conflate global centrality with pathway relevance
E009,2026-06-10,source_to_motor_path_analysis,task-specific pathway analysis,sugar source IDs to motor targets,AN or selected focus group,bootstrap,NA,path_analysis.py,results/path_analysis/*,active/planned,Computes weighted source-target betweenness and degree-matched nulls,C007,Use for mechanistic explanation after perturbation results
E010,2026-07-21,sugar_ground_truth_30trial,biological validation,21 right sugar gustatory neurons,sugar_self + size-matched controls A/B,30,1.0,tools/run_sugar_ground_truth.py; configs/sugar_ground_truth_30trial.yaml,results/sugar_ground_truth/*; output_manifest.json,completed,"baseline motor ~1087 Hz; sugar_self abolishes motor (-1087 Hz, FDR q=0); controls null",C001;C006,Bound seed=47 materialization 630; claim_status simulation_bound_pending_independent_validation
